k,silhouette,inertia
2,0.12584465835874672,9117.788234150219
3,0.0901929878059314,8432.351496972506
4,0.10013915815791727,7919.619430736034
5,0.11050295733710844,7494.385077488466
6,0.12075802860897411,7174.918193377829
