k,silhouette,inertia
2,0.10441482308310189,9008.310751160856
3,0.08117540509278472,8419.719095630431
4,0.0931402636758767,7895.249964590546
5,0.10314080177520146,7454.365717133805
6,0.106928839295934,7152.046282502602
