data,semana_epidemiologica,casos_dengue,ano,chuva,temperatura_media,umidade,pressao,week_start,ANO_SEMANA,NOTIFICACOES,rain_sum,temp_mean,humidity_mean,pressure_mean,casos_minus_notificacoes,casos_minus_notificacoes_abs,chuva_minus_rain_sum,temperatura_minus_temp_mean,umidade_minus_humidity_mean,pressao_minus_pressure_mean
2022-01-02,202201,977,2022,56.8,20.7,85.39,883.92,2022-01-02,202201,776,56.8,20.70357142857143,85.39285714285714,883.9178571428572,201,201,0.0,-0.003571428571429891,-0.0028571428571382285,0.002142857142757748
2022-01-09,202202,1008,2022,40.0,20.5,81.79,886.73,2022-01-09,202202,820,40.0,20.501785714285713,81.79166666666666,886.7303571428571,188,188,0.0,-0.0017857142857131691,-0.00166666666665094,-0.00035714285706944793
2022-01-16,202203,1149,2022,7.0,22.91,63.71,887.63,2022-01-16,202203,990,7.0,22.90952380952381,63.714285714285715,887.6303571428572,159,159,0.0,0.0004761904761885205,-0.004285714285714448,-0.00035714285718313477
2022-01-23,202204,1383,2022,3.2,22.08,70.93,885.22,2022-01-23,202204,1237,3.2,22.077380952380953,70.92857142857143,885.2244047619048,146,146,0.0,0.0026190476190457446,0.0014285714285762197,-0.004404761904766019
2022-01-30,202205,1524,2022,63.4,21.56,78.02,886.34,2022-01-30,202205,1411,63.4,21.5625,78.02380952380952,886.3392857142857,113,113,0.0,-0.002500000000001279,-0.003809523809522375,0.0007142857143662695
2022-02-06,202206,1787,2022,34.4,20.85,80.29,885.03,2022-02-06,202206,1671,34.4,20.852380952380948,80.28571428571429,885.0255952380952,116,116,0.0,-0.0023809523809461552,0.004285714285714448,0.004404761904766019
2022-02-13,202207,1721,2022,98.8,20.55,83.48,885.44,2022-02-13,202207,1604,98.8,20.548214285714288,83.47619047619048,885.4386904761905,117,117,0.0,0.0017857142857131691,0.003809523809522375,0.001309523809595703
2022-02-20,202208,1869,2022,40.0,21.59,77.12,887.35,2022-02-20,202208,1761,40.0,21.59107142857143,77.125,887.3541666666667,108,108,0.0,-0.001071428571428612,-0.0049999999999954525,-0.0041666666667197205
2022-02-27,202209,2264,2022,54.0,21.97,70.16,886.59,2022-02-27,202209,2153,54.0,21.971428571428568,70.16071428571429,886.5898809523809,111,111,0.0,-0.0014285714285691142,-0.0007142857142952153,0.00011904761913683615
2022-03-06,202210,2708,2022,27.8,22.1,70.05,886.05,2022-03-06,202210,2637,27.8,22.10238095238095,70.05357142857143,886.0541666666667,71,71,0.0,-0.002380952380949708,-0.0035714285714334437,-0.0041666666667197205
2022-03-13,202211,3060,2022,39.8,21.73,78.58,886.52,2022-03-13,202211,2962,39.8,21.727380952380948,78.57738095238095,886.5208333333333,98,98,0.0,0.00261904761905285,0.0026190476190492973,-0.000833333333275732
2022-03-20,202212,3726,2022,0.0,22.32,68.02,886.48,2022-03-20,202212,3515,0.0,22.317261904761903,68.01785714285714,886.4833333333333,211,211,0.0,0.0027380952380973156,0.002142857142857224,-0.0033333333333303017
2022-03-27,202213,4199,2022,0.0,23.29,60.77,886.7,2022-03-27,202213,3974,0.0,23.288690476190474,60.773809523809526,886.7005952380953,225,225,0.0,0.0013095238095246486,-0.003809523809522375,-0.0005952380952294334
2022-04-03,202214,4321,2022,1.0,23.05,60.87,887.06,2022-04-03,202214,3969,1.0,23.051190476190477,60.86904761904761,887.0648809523809,352,352,0.0,-0.0011904761904766303,0.0009523809523841464,-0.004880952380972303
2022-04-10,202215,4254,2022,21.0,22.25,74.36,885.3,2022-04-10,202215,4022,21.0,22.245238095238097,74.35714285714286,885.2994047619047,232,232,0.0,0.004761904761902969,0.0028571428571382285,0.0005952380952294334
2022-04-17,202216,5023,2022,1.4,21.64,63.02,886.94,2022-04-17,202216,4860,1.4,21.642261904761906,63.02380952380952,886.9351190476191,163,163,0.0,-0.0022619047619052424,-0.0038095238095152695,0.004880952380972303
2022-04-24,202217,4578,2022,0.0,22.26,61.93,888.3,2022-04-24,202217,4355,0.0,22.261309523809523,61.9345238095238,888.2982142857143,223,223,0.0,-0.001309523809521096,-0.004523809523803379,0.0017857142856883002
